@relation CityBeatEvents-weka.filters.unsupervised.attribute.Remove-R23-24

@attribute AvgCaptionLen numeric
@attribute stat_StdPhotoDis numeric
@attribute AvgPhotoDis numeric
@attribute MeanPhotoDisbyCap numeric
@attribute CaptionPercentage numeric
@attribute PredictedStd numeric
@attribute TopWordPopularity numeric
@attribute Zscore numeric
@attribute Entropy numeric
@attribute diff_AvgPhotoDis numeric
@attribute diff_TopWordPopularity numeric
@attribute diff_Entropy numeric
@attribute tfidf1 numeric
@attribute tfidf2 numeric
@attribute tfidf3 numeric
@attribute NumberOfHashtages1 numeric
@attribute NumberOfHashtages2 numeric
@attribute NumberOfHashtages3 numeric
@attribute NumberOfPhotsoContaingTopWord1 numeric
@attribute NumberOfPhotsoContaingTopWord2 numeric
@attribute NumberOfPhotsoContaingTopWord3 numeric
@attribute Top10PhotoLocationNameFreq numeric
@attribute ID string
@attribute label {1,-1}

@data
43.411765,0.061236,0.347279,7.78283,0.871795,6.98869,0.098039,3.185542,2.76596,0.057399,4.41417,0.229459,0.535429,0.419642,0.383865,3.5,1.25,5.333333,6,4,3,0.5,5114796ac2a3754cfe668511,1
41.88,0.100854,0.20342,7.032776,1,1.07646,0.173333,10.217614,2.29162,-0.092538,5.527288,0.381925,1.072415,0.903961,0.887103,2.4,2.75,0.25,5,4,4,0.7,51148da2c2a3754cfe669f06,1
50.333333,0.072883,0.194067,7.98008,0.75,1.14522,0.126984,5.387129,2.217474,-0.086767,4.936505,0.228395,0.966551,0.297026,0.297026,1.5,0,2.5,4,2,2,0.5,51148557c2a3754cfe6692d9,1
47.714286,0.039893,0.358751,7.564521,0.945946,3.438526,0.057143,4.312091,2.941444,0.029748,3.196284,0.238819,0.337204,0.248598,0.237617,4.4,2,2,5,5,5,0.7,51147aa8c2a3754cfe66862f,1
24,0.064881,0.186237,7.137753,1,0.681173,0.166667,9.290744,2.822182,0.024651,5.657633,0.186466,1.340519,0.626721,0.619576,0.5,0,2,2,1,1,0.25,5114940dc2a3754cfe66a75a,1
43.714286,0.167152,0.152257,7.683112,0.875,1.680242,0.142857,4.099693,2.139722,-0.267377,6.117514,0.863305,0.807108,0.716253,0.644968,1.5,2,1.5,2,2,2,0.8,51148d8ac2a3754cfe669eb9,1
50.642857,0.118387,0.216948,8.034168,0.777778,2.077387,0.119048,3.415052,2.650864,-0.036205,5.775221,0.058702,0.574049,0.548521,0.432516,3.5,3.5,0,2,2,1,0.5,51147f0bc2a3754cfe668b2e,1
42.529412,0.108039,0.200729,7.290698,0.89083,5.868432,0.202614,5.402154,2.128293,-0.103382,1.971469,0.267532,1.510776,0.453447,0.401032,1.725275,1.37931,4,91,29,22,8.6,51147952c2a3754cfe6684ee,1
63.857143,0.048084,0.149944,7.626325,1,1.680243,0.095238,3.771936,2.399386,-0.1328,5.405084,0.172331,0.562007,0.538072,0.477502,9,3,9,2,2,2,0.9,51148d8ac2a3754cfe669ebd,1
43.157895,0.075571,0.296278,7.804106,0.791667,1.348274,0.114035,7.343283,2.797175,0.069634,4.007854,0.089468,0.60626,0.322562,0.258029,0.833333,4,0,6,5,3,1,511487dcc2a3754cfe669668,1
43.666667,0.075899,0.218707,7.692794,0.857143,2.327154,0.111111,4.581378,2.819119,-0.092031,4.436417,0.23125,0.864124,0.317063,0.286109,2.666667,4,3.5,6,2,2,0.2,51148a6ec2a3754cfe669964,1
54.537634,0.064766,0.30768,7.679893,0.861111,2.75716,0.082437,4.679373,2.883872,-0.005874,2.599867,0.233122,0.536554,0.380714,0.26044,1.555556,5.125,0.142857,9,8,7,1.2,51147c22c2a3754cfe668773,1
42.565217,0.096586,0.345427,7.605857,0.901961,2.969294,0.065217,4.610078,2.830978,0.139944,2.520489,0.576166,0.253004,0.192426,0.164607,3,7.857143,4.4,7,7,5,1.1,51147862c2a3754cfe66846c,1
