@relation CityBeatEvents-weka.filters.unsupervised.attribute.Remove-R23-weka.filters.unsupervised.attribute.Remove-R10-12

@attribute AvgCaptionLen numeric
@attribute stat_StdPhotoDis numeric
@attribute AvgPhotoDis numeric
@attribute MeanPhotoDisbyCap numeric
@attribute CaptionPercentage numeric
@attribute PredictedStd numeric
@attribute TopWordPopularity numeric
@attribute Zscore numeric
@attribute Entropy numeric
@attribute tfidf1 numeric
@attribute tfidf2 numeric
@attribute tfidf3 numeric
@attribute NumberOfHashtages1 numeric
@attribute NumberOfHashtages2 numeric
@attribute NumberOfHashtages3 numeric
@attribute NumberOfPhotsoContaingTopWord1 numeric
@attribute NumberOfPhotsoContaingTopWord2 numeric
@attribute NumberOfPhotsoContaingTopWord3 numeric
@attribute Top10PhotoLocationNameFreq numeric
@attribute label {1,-1}

@data
48.184211,0.05386,0.327601,7.59605,0.904762,1.866168,0.078947,3.850996,3.046672,0.275109,0.237937,0.186696,1.75,0.5,1,4,4,3,0.2,-1
47.444444,0.074106,0.327528,7.182954,1,0.927462,0.185185,5.19881,3.058814,0.666934,0.524608,0.517475,0,0,1,2,2,1,0.111111,-1
41.181818,0.051707,0.340267,7.458071,0.916667,1.65724,0.121212,3.511927,3.023037,0.515085,0.515085,0.502946,1.5,0,3,2,1,1,0.2,-1
35.9375,0.06024,0.309314,7.712416,0.941176,1.71602,0.083333,4.471566,2.994112,0.37515,0.363755,0.345775,1.333333,0,1,3,1,1,0.1,-1
49.135135,0.067977,0.335634,7.47645,0.925,1.716151,0.09009,7.072787,3.024713,0.233298,0.190893,0.185808,2.333333,7.6,7.6,6,5,5,0.4,-1
29,0.072285,0.281145,8.267761,0.588235,1.215623,0.133333,4.52742,2.791761,0.700194,0.541462,0.541462,1,2,0,2,1,1,0.2,-1
39.444444,0.065991,0.204272,7.873742,0.818182,2.114504,0.111111,4.16047,2.765957,0.589917,0.589917,0.579327,2,0,0,1,1,1,0.1,-1
49.133333,0.055516,0.30635,7.713641,0.882353,2.329516,0.066667,5.867935,3.054776,0.287734,0.20008,0.20008,1,4.5,2,2,2,2,0.2,-1
35.4,0.063716,0.210765,8.196174,0.625,0.820635,0.2,8.630848,2.822182,1.10648,0.980758,0.955726,7,0,0,1,1,1,0.125,-1
69.5,0.037806,0.321953,8.079841,0.75,0.819632,0.166667,10.624334,3.028639,0.944322,0.944322,0.922067,0,0,1,1,1,1,0.125,-1
48.857143,0.040212,0.21869,7.663027,0.875,1.241936,0.126984,7.285886,2.785444,0.411582,0.333426,0.285829,1.25,0,0.5,4,2,2,0.1,-1
55.25,0.051965,0.374002,7.502314,1,0.919913,0.125,3.376126,3.146286,0.750301,0.750301,0.72751,6,0,1,1,1,1,0.125,-1
42.7,0.061028,0.376396,7.575121,0.909091,1.057102,0.1,10.192461,3.084184,0.60024,0.55324,0.55324,3,6,6,1,1,1,0.1,-1
32.714286,0.050626,0.319053,7.72234,0.945946,1.82765,0.057143,5.892977,2.923566,0.171497,0.171497,0.171497,0,0,1,2,2,2,0.2,-1
49.5,0.047771,0.295909,8.126649,0.857143,1.335185,0.083333,3.797938,2.979659,0.5002,0.485007,0.472161,0,0,8,1,1,1,0.2,-1
56.3,0.047044,0.222927,7.827178,0.769231,0.985694,0.166667,6.366967,2.988317,0.60024,0.60024,0.582008,2.333333,9,3,3,1,1,0.1,-1
51.384615,0.096117,0.312375,7.801439,0.866667,2.286334,0.102564,3.099935,2.666667,0.895397,0.461723,0.461723,0,0,0,2,1,1,0.2,-1
56.952381,0.065141,0.365171,8.18812,0.677419,2.382796,0.079365,4.379112,3.021596,0.515678,0.346814,0.285829,0.5,2,0,2,2,1,0.2,-1
33.333333,0.118302,0.367964,7.924991,0.75,1.900077,0.111111,3.371426,2.752488,0.707424,0.485007,0.485007,0,0,8,2,1,1,0.3,-1
37.952381,0.061081,0.371103,7.777395,0.84,2.764348,0.095238,4.720645,2.950839,0.449664,0.32449,0.311242,0.5,0.5,2,2,2,2,0.2,-1
62.541667,0.060058,0.346312,7.519924,0.96,1.479917,0.083333,4.846832,2.980826,0.398219,0.340457,0.2501,1.5,1.5,1,2,2,2,0.1,-1
46.8,0.04385,0.380143,7.883238,0.909091,1.370222,0.133333,4.008809,3.021928,0.60024,0.60024,0.582008,0,5,0,2,1,1,0.2,-1
51.333333,0.097127,0.31153,7.87741,0.923077,1.420364,0.138889,4.179204,2.861193,0.485007,0.480742,0.472161,3,3.5,3,2,2,1,0.2,-1
